iter	MultiClass
469	0.4273809517
470	0.4271517728
471	0.4266661847
472	0.426360978
473	0.4260438707
474	0.4254230348
475	0.4248951027
476	0.424571448
477	0.4243622465
478	0.4241484996
479	0.4237854543
480	0.4233119437
481	0.4230305708
482	0.4227015591
483	0.422366511
484	0.4220822753
485	0.4218853793
486	0.4216355458
487	0.4210345076
488	0.4205084483
489	0.4201873335
490	0.4197140379
491	0.4194972982
492	0.4192716424
493	0.418695864
494	0.4184639374
495	0.4182744249
496	0.4180700754
497	0.4176797728
498	0.4172257311
499	0.4168162027
500	0.4164391788
501	0.4161685675
502	0.4158863323
503	0.4157924844
504	0.4154844338
505	0.4151324064
506	0.4149399436
507	0.414810464
508	0.4145233129
509	0.4141362299
510	0.4139331327
511	0.4136511335
512	0.4134498328
513	0.4132511555
514	0.4131354672
515	0.4126673519
516	0.4124363649
517	0.4120280251
518	0.411768884
519	0.4113341487
520	0.4109349751
521	0.4106037909
522	0.4099169928
523	0.4096274178
524	0.4094500839
525	0.4091660059
526	0.4085915835
527	0.4083857051
528	0.4078097849
529	0.4075102388
530	0.4072383876
531	0.4071165201
532	0.4067912156
533	0.4065070915
534	0.4063454475
535	0.405984712
536	0.4057773392
537	0.4055775267
538	0.4054386847
539	0.4050198386
540	0.4047114411
541	0.4043305112
542	0.4038335855
543	0.4036065826
544	0.4033424848
545	0.4031099294
546	0.4029512501
547	0.4025288375
548	0.4024035624
549	0.4019618417
550	0.4017912032
551	0.4015141078
552	0.401231567
553	0.4009805435
554	0.4008461501
555	0.4007590744
556	0.4003522368
557	0.4002329387
558	0.3996565401
559	0.3993632529
560	0.3991042449
561	0.3988077631
562	0.3983615484
563	0.3981987149
564	0.3976189386
565	0.3973403826
566	0.3971599706
567	0.3967466655
568	0.3963943745
569	0.3961148321
570	0.3956654748
571	0.3954915438
572	0.3951765828
573	0.39507831
574	0.3947585374
575	0.3944966503
576	0.3942189516
577	0.3938754923
578	0.3936199909
579	0.3933675799
580	0.39303787
581	0.3927500484
582	0.3925648183
583	0.3922716682
584	0.3917658461
585	0.3914946955
586	0.3910928785
587	0.3908988184
588	0.3906691829
589	0.3904128325
590	0.3900857126
591	0.3898427015
592	0.3896743244
593	0.3893770664
594	0.3890964279
595	0.388811772
596	0.3885799877
597	0.3882683829
598	0.3879922971
599	0.3876734585
600	0.387469635
601	0.387263957
602	0.3869062244
603	0.3865210515
604	0.3862658093
605	0.385771544
606	0.3854808733
607	0.3852465926
608	0.3849440817
